 Number of T =  18  Number of rho =   5  Number of materials =   4
 TOPS results for  Untitled        on Feb 22, 2010
 Opacities in cm**2/gm, T in keV, density in gm/cc
Normalized composition for requested elements
No. Fraction Mass Fraction  At. No.  Chem. Sym.  Mat ID.
  5.6410E-01   6.9112E-01      6         C       l17833
  2.5641E-01   2.6364E-02      1         H       l15253
  5.1282E-02   7.3275E-02      7         N       l15003
  1.2821E-01   2.0924E-01      8         O       l15013
Temperature grid used the following  18 points
  1.0000E-02  1.2500E-02  1.5000E-02  2.0000E-02  2.5000E-02  3.0000E-02
  4.0000E-02  5.0000E-02  6.0000E-02  8.0000E-02  1.0000E-01  1.2500E-01
  1.5000E-01  2.0000E-01  2.5000E-01  3.0000E-01  4.0000E-01  5.0000E-01
Density grid used the following   5 points
  1.0000E-02  3.1623E-02  1.0000E-01  3.1623E-01  1.0000E+00
Rosseland and Planck opacities and free electrons
 Density     Ross opa    Planck opa  No. Free    Av Sq Free  T=  1.0000E-02
  1.0000E-02  7.2722E+04  1.0836E+05  1.9416E+00  4.5584E+00
  3.1623E-02  8.7800E+04  1.4151E+05  1.6794E+00  3.4821E+00
  1.0000E-01  9.8292E+04  1.7637E+05  1.4265E+00  2.6249E+00
  3.1623E-01  1.0666E+05  2.2784E+05  1.1928E+00  1.9585E+00
  1.0000E+00  1.1382E+05  2.8414E+05  1.0050E+00  1.5384E+00
Rosseland and Planck opacities and free electrons
 Density     Ross opa    Planck opa  No. Free    Av Sq Free  T=  1.2500E-02
  1.0000E-02  3.9400E+04  6.9366E+04  2.2979E+00  6.3826E+00
  3.1623E-02  4.8839E+04  9.4037E+04  2.0148E+00  4.9562E+00
  1.0000E-01  5.6265E+04  1.1949E+05  1.7373E+00  3.7773E+00
  3.1623E-01  6.3047E+04  1.5856E+05  1.4752E+00  2.8598E+00
  1.0000E+00  6.8680E+04  2.0527E+05  1.3325E+00  2.3202E+00
Rosseland and Planck opacities and free electrons
 Density     Ross opa    Planck opa  No. Free    Av Sq Free  T=  1.5000E-02
  1.0000E-02  2.1520E+04  4.3069E+04  2.5653E+00  7.9334E+00
  3.1623E-02  2.8124E+04  6.2766E+04  2.2815E+00  6.3288E+00
  1.0000E-01  3.3742E+04  8.4260E+04  1.9931E+00  4.9069E+00
  3.1623E-01  3.9184E+04  1.1431E+05  1.7137E+00  3.7620E+00
  1.0000E+00  4.4390E+04  1.5287E+05  1.5360E+00  2.9815E+00
Rosseland and Planck opacities and free electrons
 Density     Ross opa    Planck opa  No. Free    Av Sq Free  T=  2.0000E-02
  1.0000E-02  7.1551E+03  1.8157E+04  2.8855E+00  1.0026E+01
  3.1623E-02  1.0530E+04  2.9977E+04  2.6527E+00  8.5264E+00
  1.0000E-01  1.3908E+04  4.3586E+04  2.3681E+00  6.8546E+00
  3.1623E-01  1.7559E+04  6.1947E+04  2.0909E+00  5.4476E+00
  1.0000E+00  2.1821E+04  8.6510E+04  1.8435E+00  4.2591E+00
Rosseland and Planck opacities and free electrons
 Density     Ross opa    Planck opa  No. Free    Av Sq Free  T=  2.5000E-02
  1.0000E-02  2.8746E+03  9.3243E+03  3.0906E+00  1.1561E+01
  3.1623E-02  4.6881E+03  1.5754E+04  2.8657E+00  9.9383E+00
  1.0000E-01  7.0553E+03  2.5130E+04  2.6092E+00  8.3021E+00
  3.1623E-01  9.5933E+03  3.6688E+04  2.3640E+00  6.8653E+00
  1.0000E+00  1.3337E+04  5.4933E+04  2.1292E+00  5.5365E+00
Rosseland and Planck opacities and free electrons
 Density     Ross opa    Planck opa  No. Free    Av Sq Free  T=  3.0000E-02
  1.0000E-02  1.1693E+03  4.5925E+03  3.2254E+00  1.2634E+01
  3.1623E-02  2.3425E+03  8.7642E+03  3.0386E+00  1.1216E+01
  1.0000E-01  4.0309E+03  1.4794E+04  2.7889E+00  9.4927E+00
  3.1623E-01  6.3222E+03  2.3943E+04  2.5563E+00  8.0099E+00
  1.0000E+00  9.7183E+03  3.6687E+04  2.3041E+00  6.4451E+00
Rosseland and Planck opacities and free electrons
 Density     Ross opa    Planck opa  No. Free    Av Sq Free  T=  4.0000E-02
  1.0000E-02  3.8579E+02  4.9653E+03  3.3992E+00  1.4104E+01
  3.1623E-02  9.2480E+02  6.1331E+03  3.2311E+00  1.2742E+01
  1.0000E-01  1.8749E+03  8.2286E+03  3.0484E+00  1.1355E+01
  3.1623E-01  3.6254E+03  1.2433E+04  2.8494E+00  9.9694E+00
  1.0000E+00  6.7980E+03  1.9474E+04  2.6380E+00  8.4508E+00
Rosseland and Planck opacities and free electrons
 Density     Ross opa    Planck opa  No. Free    Av Sq Free  T=  5.0000E-02
  1.0000E-02  2.3068E+02  4.8831E+03  3.6905E+00  1.6625E+01
  3.1623E-02  5.8473E+02  6.3013E+03  3.4374E+00  1.4482E+01
  1.0000E-01  1.3457E+03  7.7095E+03  3.2272E+00  1.2757E+01
  3.1623E-01  2.8371E+03  9.8897E+03  3.0379E+00  1.1323E+01
  1.0000E+00  5.7469E+03  1.4474E+04  2.8448E+00  9.9105E+00
Rosseland and Planck opacities and free electrons
 Density     Ross opa    Planck opa  No. Free    Av Sq Free  T=  6.0000E-02
  1.0000E-02  1.7699E+02  2.2562E+03  3.9690E+00  1.9219E+01
  3.1623E-02  4.8036E+02  4.1712E+03  3.7146E+00  1.6861E+01
  1.0000E-01  1.1203E+03  6.8284E+03  3.4512E+00  1.4588E+01
  3.1623E-01  2.5507E+03  9.3339E+03  3.2147E+00  1.2673E+01
  1.0000E+00  5.5590E+03  1.3312E+04  3.0078E+00  1.1121E+01
Rosseland and Planck opacities and free electrons
 Density     Ross opa    Planck opa  No. Free    Av Sq Free  T=  8.0000E-02
  1.0000E-02  1.3558E+02  1.9118E+03  4.4619E+00  2.4414E+01
  3.1623E-02  4.0152E+02  3.2569E+03  4.2010E+00  2.1650E+01
  1.0000E-01  1.0569E+03  5.4016E+03  3.9050E+00  1.8711E+01
  3.1623E-01  2.3750E+03  7.5808E+03  3.5886E+00  1.5838E+01
  1.0000E+00  5.3506E+03  1.1916E+04  3.3292E+00  1.3655E+01
Rosseland and Planck opacities and free electrons
 Density     Ross opa    Planck opa  No. Free    Av Sq Free  T=  1.0000E-01
  1.0000E-02  9.4619E+01  5.6408E+02  4.7203E+00  2.7409E+01
  3.1623E-02  3.0505E+02  1.3737E+03  4.5332E+00  2.5258E+01
  1.0000E-01  8.7247E+02  2.9039E+03  4.2762E+00  2.2487E+01
  3.1623E-01  2.0791E+03  5.1961E+03  3.9654E+00  1.9355E+01
  1.0000E+00  4.1928E+03  8.4060E+03  3.6661E+00  1.6567E+01
Rosseland and Planck opacities and free electrons
 Density     Ross opa    Planck opa  No. Free    Av Sq Free  T=  1.2500E-01
  1.0000E-02  6.1253E+01  5.2509E+02  4.8691E+00  2.9314E+01
  3.1623E-02  2.0172E+02  1.3200E+03  4.7492E+00  2.7829E+01
  1.0000E-01  5.8587E+02  2.3992E+03  4.5578E+00  2.5608E+01
  3.1623E-01  1.3863E+03  3.6864E+03  4.2919E+00  2.2714E+01
  1.0000E+00  2.5251E+03  5.5237E+03  3.9791E+00  1.9544E+01
Rosseland and Planck opacities and free electrons
 Density     Ross opa    Planck opa  No. Free    Av Sq Free  T=  1.5000E-01
  1.0000E-02  3.7861E+01  1.7356E+02  4.9274E+00  3.0093E+01
  3.1623E-02  1.2155E+02  4.9058E+02  4.8624E+00  2.9263E+01
  1.0000E-01  3.5017E+02  1.1019E+03  4.7272E+00  2.7611E+01
  3.1623E-01  7.8892E+02  2.0140E+03  4.5246E+00  2.5280E+01
  1.0000E+00  1.4020E+03  3.4255E+03  4.2411E+00  2.2219E+01
Rosseland and Planck opacities and free electrons
 Density     Ross opa    Planck opa  No. Free    Av Sq Free  T=  2.0000E-01
  1.0000E-02  9.6453E+00  2.4792E+01  4.9617E+00  3.0545E+01
  3.1623E-02  2.8120E+01  7.9649E+01  4.9324E+00  3.0183E+01
  1.0000E-01  7.7280E+01  2.3593E+02  4.8761E+00  2.9477E+01
  3.1623E-01  1.9471E+02  6.4701E+02  4.7587E+00  2.8059E+01
  1.0000E+00  4.0049E+02  1.4452E+03  4.5658E+00  2.5815E+01
Rosseland and Planck opacities and free electrons
 Density     Ross opa    Planck opa  No. Free    Av Sq Free  T=  2.5000E-01
  1.0000E-02  2.5757E+00  1.4805E+01  4.9804E+00  3.0761E+01
  3.1623E-02  6.8956E+00  4.1669E+01  4.9629E+00  3.0548E+01
  1.0000E-01  1.9217E+01  1.1279E+02  4.9252E+00  3.0106E+01
  3.1623E-01  4.9019E+01  2.7019E+02  4.8611E+00  2.9315E+01
  1.0000E+00  1.1633E+02  6.0932E+02  4.7369E+00  2.7833E+01
Rosseland and Planck opacities and free electrons
 Density     Ross opa    Planck opa  No. Free    Av Sq Free  T=  3.0000E-01
  1.0000E-02  1.0616E+00  3.6093E+00  4.9855E+00  3.0820E+01
  3.1623E-02  2.4009E+00  1.1288E+01  4.9727E+00  3.0665E+01
  1.0000E-01  6.2032E+00  3.4053E+01  4.9414E+00  3.0310E+01
  3.1623E-01  1.6783E+01  1.0346E+02  4.9195E+00  3.0015E+01
  1.0000E+00  4.1354E+01  2.8018E+02  4.8158E+00  2.8804E+01
Rosseland and Planck opacities and free electrons
 Density     Ross opa    Planck opa  No. Free    Av Sq Free  T=  4.0000E-01
  1.0000E-02  4.1186E-01  1.0038E+00  4.9943E+00  3.0922E+01
  3.1623E-02  7.0138E-01  3.1423E+00  4.9832E+00  3.0799E+01
  1.0000E-01  1.4141E+00  9.7810E+00  4.9664E+00  3.0601E+01
  3.1623E-01  3.3330E+00  3.0001E+01  4.9506E+00  3.0402E+01
  1.0000E+00  8.7642E+00  8.6352E+01  4.9219E+00  3.0029E+01
Rosseland and Planck opacities and free electrons
